,V1,V2
1,1,4
2,3,4
3,5,6
4,5,7
5,6,7
6,3,9
7,4,9
8,5,9
9,5,10
10,7,10
11,5,12
12,7,12
13,5,13
14,7,13
15,10,13
16,12,13
17,2,15
18,14,15
19,5,16
20,7,16
21,12,16
22,13,16
23,3,17
24,4,17
25,9,17
26,2,18
27,7,18
28,15,18
29,15,19
30,18,19
31,2,20
32,6,20
33,8,20
34,14,20
35,15,20
36,18,20
37,19,20
38,2,21
39,8,21
40,10,21
41,13,21
42,15,21
43,19,21
44,5,22
45,7,22
46,10,22
47,12,22
48,21,22
49,5,23
50,7,23
51,10,23
52,12,23
53,13,23
54,22,23
55,2,25
56,15,25
57,20,25
58,21,25
59,2,26
60,14,26
61,20,26
62,21,26
63,5,27
64,7,27
65,10,27
66,13,27
67,16,27
68,19,27
69,22,27
70,23,27
71,5,28
72,10,28
73,13,28
74,2,29
75,4,29
76,6,29
77,7,29
78,8,29
79,14,29
80,15,29
81,18,29
82,19,29
83,20,29
84,21,29
85,22,29
86,23,29
87,24,29
88,26,29
89,27,29
90,6,30
91,7,30
92,10,30
93,22,30
94,2,31
95,8,31
96,15,31
97,19,31
98,20,31
99,21,31
100,25,31
101,26,31
102,29,31
103,2,32
104,24,32
105,29,32
106,31,32
107,10,33
108,12,33
109,13,33
110,16,33
111,23,33
112,27,33
113,15,34
114,19,34
115,21,34
116,25,34
117,29,34
118,31,34
119,2,35
120,15,35
121,18,35
122,21,35
123,26,35
124,27,35
125,29,35
126,31,35
127,34,35
128,1,36
129,3,36
130,4,36
131,2,37
132,5,37
133,7,37
134,9,37
135,10,37
136,13,37
137,15,37
138,16,37
139,18,37
140,19,37
141,21,37
142,26,37
143,27,37
144,29,37
145,31,37
146,32,37
147,33,37
148,34,37
149,35,37
150,1,38
151,2,38
152,5,38
153,10,38
154,17,38
155,33,38
156,37,38
157,2,39
158,15,39
159,18,39
160,19,39
161,21,39
162,25,39
163,29,39
164,31,39
165,5,40
166,7,40
167,10,40
168,12,40
169,16,40
170,23,40
171,27,40
172,33,40
173,37,40
174,2,41
175,8,41
176,15,41
177,20,41
178,21,41
179,29,41
180,31,41
181,35,41
182,5,42
183,7,42
184,10,42
185,16,42
186,23,42
187,27,42
188,28,42
189,33,42
190,37,42
191,39,42
192,2,43
193,8,43
194,12,43
195,13,43
196,15,43
197,18,43
198,19,43
199,21,43
200,25,43
201,29,43
202,31,43
203,34,43
204,35,43
205,37,43
206,41,43
207,1,44
208,36,44
209,1,45
210,4,45
211,9,45
212,17,45
213,36,45
214,38,45
215,44,45
216,2,46
217,11,46
218,15,46
219,18,46
220,19,46
221,21,46
222,29,46
223,31,46
224,34,46
225,35,46
226,39,46
227,43,46
228,6,47
229,7,47
230,22,47
231,25,47
232,28,47
233,5,48
234,24,48
235,27,48
236,37,48
237,5,49
238,10,49
239,12,49
240,13,49
241,23,49
242,27,49
243,33,49
244,37,49
245,42,49
246,5,50
247,6,50
248,18,50
249,21,50
250,29,50
251,35,50
252,37,50
253,38,50
254,43,50
255,2,51
256,14,51
257,15,51
258,18,51
259,20,51
260,21,51
261,26,51
262,29,51
263,31,51
264,37,51
265,43,51
266,1,52
267,2,52
268,5,52
269,9,52
270,18,52
271,21,52
272,24,52
273,26,52
274,27,52
275,29,52
276,32,52
277,33,52
278,35,52
279,37,52
280,43,52
281,48,52
282,49,52
283,50,52
284,3,53
285,4,53
286,9,53
287,17,53
288,36,53
289,44,53
290,49,53
291,2,54
292,15,54
293,17,54
294,19,54
295,20,54
296,25,54
297,26,54
298,29,54
299,34,54
300,35,54
301,37,54
302,38,54
303,39,54
304,43,54
305,46,54
306,48,54
307,50,54
308,51,54
309,52,54
310,24,55
311,29,55
312,32,55
313,37,55
314,48,55
315,52,55
316,14,56
317,20,56
318,26,56
319,51,56
320,55,56
321,2,57
322,15,57
323,18,57
324,19,57
325,29,57
326,31,57
327,35,57
328,37,57
329,39,57
330,43,57
331,46,57
332,51,57
333,52,57
334,6,58
335,11,58
336,15,58
337,18,58
338,19,58
339,21,58
340,22,58
341,27,58
342,29,58
343,34,58
344,35,58
345,37,58
346,39,58
347,46,58
348,50,58
349,51,58
350,54,58
351,3,59
352,9,59
353,17,59
354,38,59
355,4,60
356,9,60
357,37,60
358,43,60
359,1,61
360,3,61
361,4,61
362,5,61
363,9,61
364,17,61
365,45,61
366,53,61
367,59,61
368,1,62
369,2,62
370,7,62
371,9,62
372,10,62
373,17,62
374,18,62
375,21,62
376,23,62
377,24,62
378,25,62
379,27,62
380,29,62
381,31,62
382,32,62
383,37,62
384,42,62
385,44,62
386,46,62
387,49,62
388,52,62
389,54,62
390,55,62
391,57,62
392,61,62
393,7,63
394,27,63
395,30,63
396,47,63
397,62,63
398,5,64
399,24,64
400,29,64
401,32,64
402,37,64
403,48,64
404,52,64
405,55,64
406,62,64
407,5,65
408,10,65
409,16,65
410,27,65
411,40,65
412,42,65
413,62,65
414,6,66
415,22,66
416,29,66
417,30,66
418,5,67
419,27,67
420,37,67
421,48,67
422,58,67
423,5,68
424,6,68
425,7,68
426,10,68
427,12,68
428,13,68
429,16,68
430,23,68
431,27,68
432,28,68
433,33,68
434,40,68
435,42,68
436,49,68
437,66,68
438,5,69
439,6,69
440,7,69
441,10,69
442,12,69
443,13,69
444,18,69
445,22,69
446,23,69
447,27,69
448,28,69
449,29,69
450,33,69
451,35,69
452,37,69
453,40,69
454,42,69
455,47,69
456,49,69
457,52,69
458,59,69
459,62,69
460,68,69
461,2,70
462,21,70
463,29,70
464,37,70
465,48,70
466,49,70
467,50,70
468,52,70
469,54,70
470,57,70
471,62,70
472,69,70
473,10,71
474,16,71
475,29,71
476,33,71
477,40,71
478,42,71
479,69,71
480,5,72
481,6,72
482,7,72
483,10,72
484,13,72
485,16,72
486,33,72
487,40,72
488,42,72
489,49,72
490,69,72
491,38,73
492,4,74
493,36,74
494,38,74
495,59,74
496,61,74
497,62,74
498,4,75
499,17,75
500,38,75
501,52,75
502,53,75
503,61,75
504,62,75
505,74,75
506,5,76
507,10,76
508,22,76
509,42,76
510,49,76
511,58,76
512,62,76
513,72,76
